ID,sepallength,sepalwidth,petallength,petalwidth,class
X94,5.0SL,2.3SW,3.3PL,1.0PW,Iris-versicolor
X95,5.6SL,2.7SW,4.2PL,1.3PW,Iris-versicolor
X96,5.7SL,3.0SW,4.2PL,1.2PW,Iris-versicolor
X97,5.7SL,2.9SW,4.2PL,1.3PW,Iris-versicolor
X98,6.2SL,2.9SW,4.3PL,1.3PW,Iris-versicolor
X99,5.1SL,2.5SW,3.0PL,1.1PW,Iris-versicolor
X100,5.7SL,2.8SW,4.1PL,1.3PW,Iris-versicolor
X101,6.3SL,3.3SW,6.0PL,2.5PW,Iris-virginica
X102,5.8SL,2.7SW,5.1PL,1.9PW,Iris-virginica
X103,7.1SL,3.0SW,5.9PL,2.1PW,Iris-virginica
X104,6.3SL,2.9SW,5.6PL,1.8PW,Iris-virginica
X105,6.5SL,3.0SW,5.8PL,2.2PW,Iris-virginica
X106,7.6SL,3.0SW,6.6PL,2.1PW,Iris-virginica
X107,4.9SL,2.5SW,4.5PL,1.7PW,Iris-virginica
X108,7.3SL,2.9SW,6.3PL,1.8PW,Iris-virginica
X109,6.7SL,2.5SW,5.8PL,1.8PW,Iris-virginica
X110,7.2SL,3.6SW,6.1PL,2.5PW,Iris-virginica
X111,6.5SL,3.2SW,5.1PL,2.0PW,Iris-virginica
X112,6.4SL,2.7SW,5.3PL,1.9PW,Iris-virginica
X113,6.8SL,3.0SW,5.5PL,2.1PW,Iris-virginica
X114,5.7SL,2.5SW,5.0PL,2.0PW,Iris-virginica
X115,5.8SL,2.8SW,5.1PL,2.4PW,Iris-virginica
X116,6.4SL,3.2SW,5.3PL,2.3PW,Iris-virginica
X117,6.5SL,3.0SW,5.5PL,1.8PW,Iris-virginica
X118,7.7SL,3.8SW,6.7PL,2.2PW,Iris-virginica
X119,7.7SL,2.6SW,6.9PL,2.3PW,Iris-virginica
X120,6.0SL,2.2SW,5.0PL,1.5PW,Iris-virginica
X121,6.9SL,3.2SW,5.7PL,2.3PW,Iris-virginica
X122,5.6SL,2.8SW,4.9PL,2.0PW,Iris-virginica
X123,7.7SL,2.8SW,6.7PL,2.0PW,Iris-virginica
X124,6.3SL,2.7SW,4.9PL,1.8PW,Iris-virginica
X125,6.7SL,3.3SW,5.7PL,2.1PW,Iris-virginica
X126,7.2SL,3.2SW,6.0PL,1.8PW,Iris-virginica
X127,6.2SL,2.8SW,4.8PL,1.8PW,Iris-virginica
X128,6.1SL,3.0SW,4.9PL,1.8PW,Iris-virginica
X129,6.4SL,2.8SW,5.6PL,2.1PW,Iris-virginica
X130,7.2SL,3.0SW,5.8PL,1.6PW,Iris-virginica
X131,7.4SL,2.8SW,6.1PL,1.9PW,Iris-virginica
X132,7.9SL,3.8SW,6.4PL,2.0PW,Iris-virginica
X133,6.4SL,2.8SW,5.6PL,2.2PW,Iris-virginica
X134,6.3SL,2.8SW,5.1PL,1.5PW,Iris-virginica
X135,6.1SL,2.6SW,5.6PL,1.4PW,Iris-virginica
X136,7.7SL,3.0SW,6.1PL,2.3PW,Iris-virginica
X137,6.3SL,3.4SW,5.6PL,2.4PW,Iris-virginica
X138,6.4SL,3.1SW,5.5PL,1.8PW,Iris-virginica
X139,6.0SL,3.0SW,4.8PL,1.8PW,Iris-virginica
X140,6.9SL,3.1SW,5.4PL,2.1PW,Iris-virginica
X141,6.7SL,3.1SW,5.6PL,2.4PW,Iris-virginica
X142,6.9SL,3.1SW,5.1PL,2.3PW,Iris-virginica
X143,5.8SL,2.7SW,5.1PL,1.9PW,Iris-virginica
X144,6.8SL,3.2SW,5.9PL,2.3PW,Iris-virginica
X145,6.7SL,3.3SW,5.7PL,2.5PW,Iris-virginica
X146,6.7SL,3.0SW,5.2PL,2.3PW,Iris-virginica
X147,6.3SL,2.5SW,5.0PL,1.9PW,Iris-virginica
X148,6.5SL,3.0SW,5.2PL,2.0PW,Iris-virginica
X149,6.2SL,3.4SW,5.4PL,2.3PW,Iris-virginica
X150,5.9SL,3.0SW,5.1PL,1.8PW,Iris-virginica
